Title,Company,Job Desc,Logo URL,Experience,Location,Posted Date,Salary,Job ID,Job URL,Skills
Full stack developer,ABB,"The ideal candidate will have hands-on experience in building scalable applications using the React ecosystem,with a strong understanding of object-oriented programming,design patterns,and modern development practices.  <br><br>Qualifications for the role. Bachelors degree in Computer Science,Software Engineering,or a related field (or equivalent practical experience)<br><br> Azure preferred",N/A,3-5 Yrs,Bengaluru,3 Days Ago,Not disclosed,260226930330,https://www.naukri.com/job-listings-full-stack-developer-abb-india-limited-bengaluru-3-to-5-years-260226930330,"full stack developer,front end,css,ai,react,ui ux,docker,git"
Full Stack Developer,Tantra Track," Disclaimer: This job description has been sourced from a public domain and may have been modified by Naukri.com to improve clarity for our users<br><br>Experience with front-end frameworks like React or Angular,and back-end frameworks like Node.js or Django.",N/A,0-4 Yrs,Mysuru,5 Days Ago,Not disclosed,250226504141,https://www.naukri.com/job-listings-full-stack-developer-tantra-track-mysuru-0-to-4-years-250226504141,"database management,MERN/MEAN stack,backend,frontend,REST APIs,Development,API,DBMS"
Full Stack Developer,Biosky,Stay updated with the latest trends and technologies in full stack development. Disclaimer: This job description has been sourced from a public domain and may have been modified by Naukri.com to improve clarity for our users,N/A,2-6 Yrs,New Delhi,4 Days Ago,Not disclosed,260226504460,https://www.naukri.com/job-listings-full-stack-developer-biosky-new-delhi-2-to-6-years-260226504460,"fullstack development,stack development,css,c++,bootstrap,jquery,sql,spring"
Full Stack Developer,Maxis Clinical Sciences,"<p>Full Stack Developer (REMOTE)</p><p> </p><p><strong>Role Summary</strong></p><p>We are seeking a <strong>highly experienced Senior Full Stack Developer</strong> to play a key role in the design, delivery, and ongoing evolution of our <strong>integration and data platform</strong>, supporting multiple critical operational systems across the business.</p><p>The role combines <strong>hands-on technical delivery</strong> with responsibility for <strong>technical design, solution quality, and the establishment of clear engineering standards</strong>. The successful candidate will be a trusted senior engineer who can advise on <strong>technical implementation options</strong>, make sound design decisions, and ensure systems are built in a maintainable, reliable, and scalable way.</p><p>Business priorities and functional requirements are defined through a <strong>business-led, agile delivery model</strong>. The focus of this role is on <strong>how those requirements are implemented technically</strong>, ensuring the platform remains robust, coherent, and fit for purpose as it grows.</p><p><strong>Key Responsibilities</strong></p><ul><li><strong>Technical Delivery & Ownership</strong></li><li>Own the <strong>technical implementation and support</strong> of existing integrations and data services</li><li>Build, maintain, and extend <strong>API-based and event-driven integrations</strong> from defined requirements</li><li>Translate approved functional and data specifications into <strong>robust technical designs and implementations</strong></li><li>Improve <strong>data consistency, validation, reliability, and traceability</strong> across systems</li><li>Diagnose and resolve integration failures, performance issues, and data defects</li><li>Ensure solutions are <strong>secure, monitored, and production-ready</strong></li></ul><p> </p><ul><li><strong>Technical Design & Solution Advisory</strong></li><li>Provide <strong>technical input and solution options</strong> during design and planning discussions</li><li>Advise on <strong>implementation approaches</strong>, trade-offs, and constraints</li><li>Make pragmatic decisions on <strong>build vs extend vs reuse</strong> within the existing landscape</li><li>Ensure solutions align with operational priorities and scale appropriately</li><li>Maintain a strong focus on <strong>simplicity, maintainability, and long-term supportability</strong></li><li><strong>Standards, Patterns & Documentation</strong></li><li>Define, document, and maintain <strong>technical standards</strong>, including:</li><li>Integration patterns</li><li>API design conventions</li><li>Data handling and validation approaches</li><li>Error handling, logging, and monitoring</li><li>Establish <strong>baseline engineering practices</strong> appropriate for a growing organization</li><li>Produce and maintain <strong>clear technical documentation</strong> for:</li><li>Systems and integrations</li><li>Data flows and dependencies</li><li>Key technical decisions</li><li>Reduce dependency on individuals by improving <strong>clarity, consistency, and repeatability</strong></li></ul><p><strong>Agile Delivery</strong></p><ul><li>Deliver work within an <strong>agile framework</strong>, working iteratively from prioritized backlogs</li><li>Contribute to backlog refinement, sprint planning, and incremental delivery</li><li>Apply agile principles <strong>pragmatically</strong>, with a focus on outcomes over ceremony</li></ul><p><strong>Working Model</strong></p><ul><li>Offshore delivery with structured overlap with UK business hours</li></ul><br /><br />",https://img.naukimg.com/logo_images/groups/v1/8765409.gif,10-15 Yrs,Remote,4 Days Ago,15-20 Lacs PA,260226020874,https://www.naukri.com/job-listings-full-stack-developer-maxis-clinical-sciences-delhi-ncr-10-to-15-years-260226020874,"Fullstack Development,Agile Methodology,Full Stack,Development,Agile,Stack"
Full Stack Developer,The Oceann,"Experience with databases (SQL,MySQL MongoDB postgres ) and ORM technologies<br><br>Strong experience with Python and popular frameworks (Django,Flask)<br><br>Experience with CI / CD pipelines and automated testing tools is a plus",N/A,4-6 Yrs,Noida,6 Days Ago,Not disclosed,240226933373,https://www.naukri.com/job-listings-full-stack-developer-theoceann-com-noida-4-to-6-years-240226933373,"ReactJS,RESTful API,MySQL MongoDB,Redux,Django,HTML5,JavaScript,NextJS"
"Full Stack Developer (Reactjs, Nodejs, ReactNative)",Invictus Survival Sciences,"<br /> <div> Key Responsibilities: </div> <ul> <li> Designing, developing, and maintaining scalable web applications across front-end and back-end. </li> </ul> <ul> <li> Collaborating with designers, product managers, and developers to deliver high-quality features. </li> </ul> <ul> <li> Integrating user-facing elements with server-side logic and databases. </li> </ul> <ul> <li> Ensuring application performance, security, and responsiveness across platforms. </li> </ul>",N/A,2-6 Yrs,New Delhi,6 Days Ago,Not disclosed,240226502858,https://www.naukri.com/job-listings-full-stack-developer-reactjs-nodejs-reactnative-invictus-survival-sciences-new-delhi-2-to-6-years-240226502858,"fullstack development,css,web application,dbms,bootstrap,ajax,jquery,spring"
Full Stack Developer,Career Creed,"About the Role: We are seeking a highly skilled Full Stack Developer with hands-on experience in Java 17,Spring Boot,Microservices,Hibernate,and Angular.The ideal candidate will be responsible for designing,developing,and implementing end-to-end web applications with a focus on performance,scalability,and reliability<br><br>Experience with Agile / Scrum methodologies.  . .",N/A,0-5 Yrs,Mumbai,6 Days Ago,Not disclosed,240226502057,https://www.naukri.com/job-listings-full-stack-developer-career-creed-mumbai-0-to-5-years-240226502057,"Computer science,spring boot,Hibernate,Backend,Version control,Coding,Postgresql,MySQL"
Full Stack Developer,Easemytrip,"Database Management: Proficient in SQL Server,MongoDB,and other NoSQL databases,along with executing DB schema changes<br><br>Design and Usability: Expertise in designing responsive and highly interactive web applications,considering performance,scalability,and user experience<br><br>Soft Skills: Must be a team player,flexible,and capable of working in a dynamic,fast-paced environment",N/A,5-10 Yrs,Noida,3 Days Ago,Not disclosed,220424001918,https://www.naukri.com/job-listings-full-stack-developer-easemytrip-com-noida-5-to-10-years-220424001918,"C#,Angularjs,.Net,Asp.Net Core,.Net Core,Web Api,C,Programming"
Cloud Full Stack Developer,IBM,"<div> <div>As a Software Developer: Generalist, you will design, develop, test, and deliver offerings using leading-edge and/or proven technologies. You will work in an Agile, collaborative environment to understand stakeholder requirements and contribute to the development of innovative software solutions.  <br /><b>Your primary responsibilities will include:</b> <br /><li> Develop Software Solutions: Design, code, and test component-level software solutions, ensuring they are unit tested and ready for integration into products. <br /></li><li> Collaborate with Stakeholders: Work in an Agile environment to understand stakeholder requirements and deliver solutions that meet their needs. <br /></li><li> Debug Customer Issues: Design, develop, and unit test code fixes for customer-reported problems. <br /></li><li> Contribute to CI/CD Pipeline: Participate in the development of an automated CI/CD pipeline that takes code through various quality stages. <br /></li><li> Deliver Offerings: Test and deliver offerings using leading-edge and/or proven technologies.</li></div>  <br /><b>Required education</b> </div> <div> Bachelor's Degree </div> <br /><b>Preferred education</b>  <div> Master's Degree </div> <br /><b>Required technical and professional expertise</b>  <div> <br /><li> Exposure to Back-End Development: Familiarity with designing, developing, testing, and delivering back-end components of software applications using leading-edge and/or proven technologies. <br /></li><li> Experience with Agile Methodologies: Understanding of Agile principles and practices, with experience working in a collaborative environment to understand stakeholder requirements. <br /></li><li> Component-Level Software Design: Knowledge of designing, coding, and testing component-level software solutions, ensuring they are unit tested and ready for integration into products. <br /></li><li> Debugging and Troubleshooting: Exposure to debugging customer-reported problems, designing, developing, and unit testing code fixes. <br /></li><li> Automated CI/CD Pipelines: Familiarity with contributing to the development of automated CI/CD pipelines that take code through various quality stages.</li></div> <br /><b>Preferred technical and professional experience</b>  <div> <br /><li> Front-End Development Skills: Exposure to designing, developing, testing, and delivering front-end components of software applications using leading-edge and/or proven technologies. <br /></li><li> DevOps Engineering Knowledge: Familiarity with DevOps engineering practices and tools, contributing to the development of automated CI/CD pipelines. <br /></li><li> L3 Support Engineering: Exposure to L3 support engineering, debugging customer-reported problems, and designing, developing, and unit testing code fixes.</li></div>  <br /><strong>Years of Experience:</strong> <br />2 - 5 Yrs.",N/A,2-5 Yrs,Hyderabad,6 Days Ago,Not disclosed,240226940374,https://www.naukri.com/job-listings-cloud-full-stack-developer-ibm-india-pvt-limited-hyderabad-2-to-5-years-240226940374,"full stack developer,front end,devops engineering,l3 support,software design,unit testing,cloud,back end"
Full stack Developer,Ford,"Joining us means embracing the liberty to pursue and define your aspirations,anchored in our conviction that the freedom to move is a catalyst for human advancement. Bachelors degree in Computer Science,Computer Engineering,Information Technology or related field<br><br>Create prototypes,proof of concepts,or minimum viable products to validate technical concepts and gather feedback",N/A,3-8 Yrs,Chennai,4 Days Ago,Not disclosed,260226506687,https://www.naukri.com/job-listings-full-stack-developer-ford-india-private-limited-chennai-3-to-8-years-260226506687,"System architecture,Automation,Software design,GCP,Agile,Continuous improvement,Automotive,Monitoring"
